Stations_id von_datum bis_datum Stationshoehe geoBreite geoLaenge Stationsname Bundesland
02985 19911101 20231206 321 50.9383 14.2094 Lichtenhain-Mittelndorf Sachsen
03015 19510101 20231206 98 52.2085 14.1180 Lindenberg Brandenburg
03017 19840701 20100331 341 49.6800 8.7823 Lindenfels Hessen
03023 19700201 20161231 22 52.5181 7.3081 Lingen Niedersachsen
03028 19710401 20231206 157 51.7854 8.8388 Lippspringe,_Bad Nordrhein-Westfalen
03032 19500101 20231206 25 55.0110 8.4125 List_auf_Sylt Schleswig-Holstein
03046 19800201 19910331 20 52.7333 7.7333 Loningen-Schnetlage Niedersachsen
03085 19510101 19850228 15 53.8773 10.6915 Lubeck Schleswig-Holstein
03086 19850301 20231206 15 53.8025 10.6989 Lubeck-Blankensee Schleswig-Holstein
03093 19720101 20231206 16 52.9724 11.1374 Luchow Niedersachsen
03096 19690101 19951231 444 51.2131 7.6359 Ludenscheid_(Zeppelin-Gymnasium) Nordrhein-Westfalen
03098 19940101 20231206 387 51.2452 7.6425 Ludenscheid Nordrhein-Westfalen
03103 19761201 19971231 11 53.2657 10.4240 Luneburg Niedersachsen
03126 19570801 20231206 79 52.1029 11.5827 Magdeburg Sachsen-Anhalt
03138 19790101 19890216 200 49.9798 8.1668 Mainz-Finthen Rheinland-Pfalz
03145 19981201 20080901 30 54.1800 10.5528 Malente,_Bad-Gremsmuhlen Schleswig-Holstein
03158 19890101 20231206 12 52.5468 14.5453 Manschnow Brandenburg
03166 19820101 20231206 639 50.6511 13.1469 Marienberg Sachsen
03167 19690101 20231206 547 50.6621 7.9603 Marienberg,_Bad Rheinland-Pfalz
03196 19810101 20231206 81 53.3222 11.9321 Marnitz Mecklenburg-Vorpommern
03228 19810101 19970331 506 51.0976 7.6670 Meinerzhagen_(A) Nordrhein-Westfalen
03231 19790101 20231206 450 50.5611 10.3771 Meiningen Thuringen
03244 20110513 20231206 614 47.9821 10.1384 Memmingen Bayern
03245 19690101 20021129 630 47.9833 10.2333 Memmingen_(Flugplatz) Bayern
03246 19841101 20070531 181 50.3667 7.3167 Mendig Rheinland-Pfalz
03254 19730101 20231130 19 52.7155 7.3176 Meppen Niedersachsen
03256 19850101 19891031 193 48.0167 7.6667 Merdingen Baden-Wurttemberg
03268 20131008 20231206 900 48.1694 8.9433 Messstetten-Appental Baden-Wurttemberg
03274 19921201 19941130 415 49.5070 6.5215 Mettlach-Orscholz_(Kurort) Saarland
03287 19871001 20231206 453 49.7177 9.0997 Michelstadt-Vielbrunn Hessen
03300 19781201 19930531 155 50.2285 9.1064 Mittel-Grundau Hessen
03321 20080425 20231206 76 51.1313 6.3608 Monchengladbach-Hilderath Nordrhein-Westfalen
03362 20060701 20231206 243 48.9721 8.8735 Muhlacker Baden-Wurttemberg
03366 19550101 20231206 406 48.2790 12.5024 Muhldorf Bayern
03369 19800101 20060315 42 53.6000 10.4833 Muhlenrade Schleswig-Holstein
03376 19910101 20231206 63 52.5176 14.1232 Muncheberg Brandenburg
03379 19850101 20231206 515 48.1632 11.5429 Munchen-Stadt Bayern
03390 19500301 19920517 529 48.1369 11.7094 Munchen-Riem Bayern
03402 20080124 20231206 755 48.3851 9.4837 Munsingen-Apfelstetten Baden-Wurttemberg
03404 19650101 19911231 62 51.9494 7.5906 Munster Nordrhein-Westfalen
03442 19730101 19770531 149 50.3574 8.7506 Nauheim,_Bad Hessen
03478 19760701 20050816 81 53.5468 13.1914 Neubrandenburg Mecklenburg-Vorpommern
03484 19730101 20231130 380 48.7085 11.2147 Neuburg_an_der_Donau Bayern
03493 19800701 19900731 223 47.8333 7.5833 Neuenburg-Zinken Baden-Wurttemberg
03513 19890501 20231206 845 50.5003 11.1345 Neuhaus_am_Rennweg Thuringen
03518 19710101 19931231 793 47.9760 8.9101 Neuhausen_ob_Eck Baden-Wurttemberg
03534 19810301 20231206 584 49.2713 11.4881 Neumarkt-Hohenberg Bayern
03542 19751101 19950531 271 49.3500 7.1667 Neunkirchen/Saar Saarland
03552 19730101 20190408 38 52.9037 12.8071 Neuruppin Brandenburg
03575 19710101 19821231 163 49.3570 8.1405 Neustadt/Weinstrasse Rheinland-Pfalz
03577 19560101 19760630 64 53.3585 13.0502 Neustrelitz Mecklenburg-Vorpommern
03623 19690101 20231130 110 50.8294 6.6601 Norvenich-Niederbolheim Nordrhein-Westfalen
03631 19690101 20231206 12 53.7123 7.1519 Norderney Niedersachsen
03639 19740101 20231031 26 53.7647 8.6584 Nordholz-Wanhoden Niedersachsen
03651 19920402 20231206 111 51.7521 9.9450 Northeim-Stockheim Niedersachsen
03657 19830601 20150831 341 50.9081 7.5543 Numbrecht_auf_dem_Lindchen Nordrhein-Westfalen
03659 19720101 19950327 627 50.3391 6.9501 Nurburg Rheinland-Pfalz
03660 19950301 20231206 485 50.3602 6.8697 Nurburg-Barweiler Rheinland-Pfalz
03661 19600101 19780331 307 49.4500 11.0667 Nurnberg_(Hochhaus) Bayern
03668 19490101 20231206 314 49.5030 11.0549 Nurnberg Bayern
03702 19800101 20061231 515 47.8780 7.8288 Munstertal-Obermunstertal Baden-Wurttemberg
03730 19510101 20231206 806 47.3984 10.2759 Oberstdorf Bayern
03761 19520101 20231206 276 49.2070 9.5176 Ohringen Baden-Wurttemberg
03775 19780101 19981216 100 50.1029 8.7468 Offenbach/Main_(Zentrallabor) Hessen
03791 19690101 20121001 11 53.1763 8.1824 Oldenburg Niedersachsen
03811 19830101 20231206 150 51.2960 13.0928 Oschatz Sachsen
03815 19590820 20101130 95 52.2553 8.0534 Osnabruck Niedersachsen
03821 19860101 20231206 244 51.0872 11.9293 Osterfeld Sachsen-Anhalt
03879 19660101 19961231 409 48.5779 13.4694 Passau-Oberhaus Bayern
